cat_type,category,subcategory,period,netsales
refreshment,Cider Domestic Cider,Cider Domestic Cider,FY2025Q1,14224127.0
refreshment,Import Cider,Import Cider,FY2025Q1,3385628.0
refreshment,Coolers Malt-Based Coolers,Coolers Malt-Based Coolers,FY2025Q1,363377.0
refreshment,Spirit Coolers,Spirit Coolers,FY2025Q1,105116631.0
refreshment,Wine/Fruit Coolers,Wine/Fruit Coolers,FY2025Q1,1275019.0
refreshment,Cider Domestic Cider,Cider Domestic Cider,FY2025Q2,16888687.0
refreshment,Import Cider,Import Cider,FY2025Q2,3547950.0
refreshment,Coolers Malt-Based Coolers,Coolers Malt-Based Coolers,FY2025Q2,577771.0
refreshment,Spirit Coolers,Spirit Coolers,FY2025Q2,120968839.0
refreshment,Wine/Fruit Coolers,Wine/Fruit Coolers,FY2025Q2,1138113.0
refreshment,Cider Domestic Cider,Cider Domestic Cider,FY2025Q3,11196930.0
refreshment,Import Cider,Import Cider,FY2025Q3,3050117.0
refreshment,Coolers Malt-Based Coolers,Coolers Malt-Based Coolers,FY2025Q3,263161.0
refreshment,Spirit Coolers,Spirit Coolers,FY2025Q3,75547221.0
refreshment,Wine/Fruit Coolers,Wine/Fruit Coolers,FY2025Q3,822523.0
refreshment,Cider Domestic Cider,Cider Domestic Cider,FY2025Q4,9417257.0
refreshment,Import Cider,Import Cider,FY2025Q4,2621819.0
refreshment,Coolers Malt-Based Coolers,Coolers Malt-Based Coolers,FY2025Q4,221683.0
refreshment,Spirit Coolers,Spirit Coolers,FY2025Q4,72694520.0
refreshment,Wine/Fruit Coolers,Wine/Fruit Coolers,FY2025Q4,854849.0
refreshment,Cider Domestic Cider,Cider Domestic Cider,FY2026Q1,13979965.0
refreshment,Import Cider,Import Cider,FY2026Q1,3470164.0
refreshment,Coolers Malt-Based Coolers,Coolers Malt-Based Coolers,FY2026Q1,202861.0
refreshment,Spirit Coolers,Spirit Coolers,FY2026Q1,108539486.0
refreshment,Wine/Fruit Coolers,Wine/Fruit Coolers,FY2026Q1,1043341.0
