cat_type,category,subcategory,period,netsales
Refreshment Beverages,Cider,Domestic Cider,FY2026Q1,14078066.0
Refreshment Beverages,Cider,Import Cider,FY2026Q1,3472465.0
Refreshment Beverages,Coolers,Malt-Based Coolers,FY2026Q1,203357.0
Refreshment Beverages,Coolers,Spirit Coolers,FY2026Q1,108749213.0
Refreshment Beverages,Coolers,Wine/Fruit Coolers,FY2026Q1,1114126.0
Refreshment Beverages,Cider,Domestic Cider,FY2026Q2,16461395.0
Refreshment Beverages,Cider,Import Cider,FY2026Q2,3562722.0
Refreshment Beverages,Coolers,Malt-Based Coolers,FY2026Q2,156270.0
Refreshment Beverages,Coolers,Spirit Coolers,FY2026Q2,120732930.0
Refreshment Beverages,Coolers,Wine/Fruit Coolers,FY2026Q2,1140986.0
Refreshment Beverages,Cider,Domestic Cider,FY2026Q3,12901649.0
Refreshment Beverages,Cider,Import Cider,FY2026Q3,2448659.0
Refreshment Beverages,Coolers,Malt-Based Coolers,FY2026Q3,85612.0
Refreshment Beverages,Coolers,Spirit Coolers,FY2026Q3,70019461.0
Refreshment Beverages,Coolers,Wine/Fruit Coolers,FY2026Q3,695486.0
Refreshment Beverages,Cider,Domestic Cider,FY2026Q4,9813524.0
Refreshment Beverages,Cider,Import Cider,FY2026Q4,2567593.0
Refreshment Beverages,Coolers,Malt-Based Coolers,FY2026Q4,110686.0
Refreshment Beverages,Coolers,Spirit Coolers,FY2026Q4,76017842.0
Refreshment Beverages,Coolers,Wine/Fruit Coolers,FY2026Q4,690825.0
Refreshment Beverages,Cider,Domestic Cider,FY2027Q1,12927140.0
Refreshment Beverages,Cider,Import Cider,FY2027Q1,3341159.0
Refreshment Beverages,Coolers,Malt-Based Coolers,FY2027Q1,241352.0
Refreshment Beverages,Coolers,Spirit Coolers,FY2027Q1,110107696.0
Refreshment Beverages,Coolers,Wine/Fruit Coolers,FY2027Q1,1012053.0
