cat_type,category,subcategory,period,netsales
Refreshment Beverages,Cider,Domestic Cider,FY2025Q2,16888832.0
Refreshment Beverages,Cider,Import Cider,FY2025Q2,3547950.0
Refreshment Beverages,Coolers,Malt-Based Coolers,FY2025Q2,577771.0
Refreshment Beverages,Coolers,Spirit Coolers,FY2025Q2,120968839.0
Refreshment Beverages,Coolers,Wine/Fruit Coolers,FY2025Q2,1138113.0
Refreshment Beverages,Cider,Domestic Cider,FY2025Q3,11196930.0
Refreshment Beverages,Cider,Import Cider,FY2025Q3,3050117.0
Refreshment Beverages,Coolers,Malt-Based Coolers,FY2025Q3,263195.0
Refreshment Beverages,Coolers,Spirit Coolers,FY2025Q3,75547221.0
Refreshment Beverages,Coolers,Wine/Fruit Coolers,FY2025Q3,822523.0
Refreshment Beverages,Cider,Domestic Cider,FY2025Q4,9419893.0
Refreshment Beverages,Cider,Import Cider,FY2025Q4,2622116.0
Refreshment Beverages,Coolers,Malt-Based Coolers,FY2025Q4,222017.0
Refreshment Beverages,Coolers,Spirit Coolers,FY2025Q4,72694520.0
Refreshment Beverages,Coolers,Wine/Fruit Coolers,FY2025Q4,854849.0
Refreshment Beverages,Cider,Domestic Cider,FY2026Q1,14081627.0
Refreshment Beverages,Cider,Import Cider,FY2026Q1,3471881.0
Refreshment Beverages,Coolers,Malt-Based Coolers,FY2026Q1,203357.0
Refreshment Beverages,Coolers,Spirit Coolers,FY2026Q1,108545025.0
Refreshment Beverages,Coolers,Wine/Fruit Coolers,FY2026Q1,1043341.0
Refreshment Beverages,Cider,Domestic Cider,FY2026Q2,16084356.0
Refreshment Beverages,Cider,Import Cider,FY2026Q2,3562722.0
Refreshment Beverages,Coolers,Malt-Based Coolers,FY2026Q2,155903.0
Refreshment Beverages,Coolers,Spirit Coolers,FY2026Q2,120513274.0
Refreshment Beverages,Coolers,Wine/Fruit Coolers,FY2026Q2,1078658.0
